Entity_id,Category,Summary
513,World University Rankings,"Institution: Technical University of Denmark has a score of 58 and rank of 104 on indicator overall. This university has campuses in Denmark, Greenland ."
513,World University Rankings,"Institution: Maastricht University  has a score of 36.7 and rank of 278 on indicator overall. This university has campuses in Netherlands, Belgium ."
513,World University Rankings,Institution: National Technical University of Athens has a score of 27.3 and rank of 422 on indicator overall. This university has campuses in Greece .
513,World University Rankings,Institution: IE University has a score of 31.1 and rank of 347 on indicator overall. This university has campuses in Spain .
513,World University Rankings,Institution: Canadian University Dubai has a score of  and rank of 541 on indicator overall. This university has campuses in United Arab Emirates .
513,World University Rankings,Institution: University of North Carolina at Chapel Hill has a score of 58.2 and rank of 103 on indicator overall. This university has campuses in United States .
513,World University Rankings,Institution: University of Split has a score of  and rank of 1387 on indicator overall. This university has campuses in Croatia .
513,World University Rankings,Institution: Complutense University of Madrid has a score of 41.2 and rank of 226 on indicator overall. This university has campuses in Spain .
513,World University Rankings,Institution: American University in Dubai has a score of  and rank of 657 on indicator overall. This university has campuses in United Arab Emirates .
513,World University Rankings,Institution: King Fahd University of Petroleum & Minerals has a score of 48.8 and rank of 160 on indicator overall. This university has campuses in Saudi Arabia .
513,World University Rankings,Institution: George Washington University has a score of 30.3 and rank of 362 on indicator overall. This university has campuses in United States .
513,World University Rankings,Institution: The University of Manchester has a score of 82.3 and rank of 28 on indicator overall. This university has campuses in United Kingdom .
513,World University Rankings,Institution: Universidad de los Andes has a score of 41.6 and rank of 220 on indicator overall. This university has campuses in Colombia .
513,World University Rankings,Institution: University of Ljubljana has a score of  and rank of 641 on indicator overall. This university has campuses in Slovenia .
513,World University Rankings,Institution: College of William and Mary has a score of  and rank of 825 on indicator overall. This university has campuses in United States .
513,World University Rankings,Institution: Pontificia Universidad Católica Madre y Maestra (PUCMM) has a score of  and rank of 1262 on indicator overall. This university has campuses in Dominican Republic .
513,World University Rankings,Institution: University of Oslo has a score of 58.7 and rank of 101 on indicator overall. This university has campuses in Norway .
513,World University Rankings,Institution: Fudan University has a score of 81.5 and rank of 34 on indicator overall. This university has campuses in China (Mainland) .
513,World University Rankings,Institution: Karaganda State Technical University has a score of  and rank of 670 on indicator overall. This university has campuses in Kazakhstan .
513,World University Rankings,Institution: Indian Institute of Technology Kharagpur (IIT-KGP) has a score of 37.2 and rank of 270 on indicator overall. This university has campuses in India .
513,World University Rankings,Institution: The University of Western Australia has a score of 61.7 and rank of 90 on indicator overall. This university has campuses in Australia .
513,World University Rankings,Institution: Lund University has a score of 60.1 and rank of 95 on indicator overall. This university has campuses in Sweden .
513,World University Rankings,Institution: Hitotsubashi University has a score of  and rank of 533 on indicator overall. This university has campuses in Japan .
513,World University Rankings,Institution: University College Dublin has a score of 45.6 and rank of 182 on indicator overall. This university has campuses in Ireland .
513,World University Rankings,Institution: University of Belgrade has a score of  and rank of 1153 on indicator overall. This university has campuses in Serbia .
513,World University Rankings,Institution: Delft University of Technology has a score of 70 and rank of 61 on indicator overall. This university has campuses in Netherlands .
513,World University Rankings,Institution: Purdue University has a score of 54.2 and rank of 129 on indicator overall. This university has campuses in United States .
513,World University Rankings,Institution: Indiana University Bloomington has a score of 31.7 and rank of 339 on indicator overall. This university has campuses in United States .
513,World University Rankings,Institution: Victoria University of Wellington has a score of 36.9 and rank of 276 on indicator overall. This university has campuses in New Zealand .
513,World University Rankings,Institution: Georgia Institute of Technology has a score of 62.3 and rank of 88 on indicator overall. This university has campuses in United States .
513,World University Rankings,Institution: Sultan Qaboos University has a score of 29.3 and rank of 385 on indicator overall. This university has campuses in Oman .
513,World University Rankings,Institution: KAIST - Korea Advanced Institute of Science & Technology has a score of 79.3 and rank of 42 on indicator overall. This university has campuses in South Korea .
513,World University Rankings,Institution: Kuwait University has a score of  and rank of 1064 on indicator overall. This university has campuses in Kuwait .
513,World University Rankings,Institution: University of Helsinki has a score of 57.8 and rank of 107 on indicator overall. This university has campuses in Finland .
513,World University Rankings,Institution: The University of Warwick has a score of 69.1 and rank of 64 on indicator overall. This university has campuses in United Kingdom .
513,World University Rankings,Institution: Universidad Nacional Costa Rica has a score of  and rank of 1123 on indicator overall. This university has campuses in Costa Rica .
513,World University Rankings,Institution: USI - Università della Svizzera italiana has a score of 39.2 and rank of 240 on indicator overall. This university has campuses in Switzerland .
513,World University Rankings,Institution: Universidad Nacional Autónoma de México  (UNAM) has a score of 58 and rank of 105 on indicator overall. This university has campuses in Mexico .
513,World University Rankings,"Institution: University of Maryland, College Park has a score of 47.9 and rank of 165 on indicator overall. This university has campuses in United States ."
513,World University Rankings,Institution: Riga Technical University has a score of  and rank of 778 on indicator overall. This university has campuses in Latvia .
513,World University Rankings,Institution: Sorbonne University has a score of 70.1 and rank of 60 on indicator overall. This university has campuses in France .
513,World University Rankings,Institution: Tokyo University of Science has a score of  and rank of 912 on indicator overall. This university has campuses in Japan .
513,World University Rankings,Institution: Ivane Javakhishvili Tbilisi State University has a score of  and rank of 610 on indicator overall. This university has campuses in Georgia .
513,World University Rankings,Institution: University of Bristol has a score of 70 and rank of 62 on indicator overall. This university has campuses in United Kingdom .
513,World University Rankings,Institution: University of Warsaw  has a score of 36.1 and rank of 287 on indicator overall. This university has campuses in Poland .
513,World University Rankings,Institution: Australian National University (ANU) has a score of 82.1 and rank of 30 on indicator overall. This university has campuses in Australia .
513,World University Rankings,Institution: University of Copenhagen has a score of 64.1 and rank of 82 on indicator overall. This university has campuses in Denmark .
513,World University Rankings,Institution: Shanghai Jiao Tong University has a score of 77.4 and rank of 46 on indicator overall. This university has campuses in China (Mainland) .
513,World University Rankings,Institution: Universidade Presbiteriana Mackenzie has a score of  and rank of 1359 on indicator overall. This university has campuses in Brazil .
513,World University Rankings,Institution: University of Cyprus (UCY) has a score of 25.1 and rank of 473 on indicator overall. This university has campuses in Cyprus .
513,World University Rankings,Institution: Rensselaer Polytechnic Institute has a score of 25.5 and rank of 462 on indicator overall. This university has campuses in United States .
513,World University Rankings,Institution: City University of Hong Kong has a score of 73.6 and rank of 54 on indicator overall. This university has campuses in Hong Kong SAR .
513,World University Rankings,"Institution: Birla Institute of Technology and Science, Pilani has a score of  and rank of 1032 on indicator overall. This university has campuses in India, United Arab Emirates ."
513,World University Rankings,Institution: King's College London has a score of 81.2 and rank of 37 on indicator overall. This university has campuses in United Kingdom .
513,World University Rankings,Institution: Kyoto University has a score of 81.4 and rank of 36 on indicator overall. This university has campuses in Japan .
